epoch,total_loss,synergy_loss,main_loss,ortho_loss,diff_loss,gran_loss,val_recall@1,val_i2t_recall@1,val_t2i_recall@1,val_recall@5,val_recall@10,val_mrr
1,4.996365,4.825608,4.825794,5.963741,4.826594,,0.0002,0.0,0.0003,0.0018,0.0032,0.0028
2,4.464222,4.824918,4.825158,2.419956,4.825868,,0.0003,0.0003,0.0003,0.0023,0.0047,0.0032
3,4.408685,4.824607,4.82492,2.051379,4.825716,,0.0005,0.0003,0.0007,0.0023,0.0047,0.0033
4,4.372706,4.824318,4.82472,1.813037,4.825653,,0.0005,0.0003,0.0007,0.0025,0.0047,0.0034
5,4.308714,4.823986,4.824533,1.388109,4.825609,,0.0005,0.0003,0.0007,0.0028,0.0053,0.0035
6,4.280417,4.823116,4.824048,1.203877,4.825592,,0.0008,0.001,0.0007,0.0035,0.0062,0.004
7,4.26006,4.820257,4.822397,1.08276,4.825609,,0.0007,0.0007,0.0007,0.0035,0.0072,0.004
8,4.221068,4.781752,4.800704,1.018591,4.825628,,0.0007,0.0007,0.0007,0.0033,0.0067,0.0039
9,3.426941,3.689578,3.892894,1.667577,4.824586,,0.0037,0.0037,0.0037,0.0137,0.0233,0.0125
10,2.676381,2.835462,3.133578,1.377431,4.825123,,0.007,0.0073,0.0067,0.025,0.044,0.0227
11,2.464657,2.671296,2.998809,0.85702,4.825273,,0.0077,0.0093,0.006,0.0275,0.046,0.0225
12,2.340427,2.530424,2.861223,0.822715,4.825265,,0.0072,0.0063,0.008,0.0235,0.0417,0.023
13,2.193775,2.384291,2.731568,0.651144,4.825363,,0.0092,0.011,0.0073,0.0245,0.036,0.0213
14,2.102873,2.278947,2.642041,0.620992,4.825462,,0.006,0.0057,0.0063,0.0177,0.0313,0.0169
15,1.913451,2.063928,2.46503,0.525942,4.82562,,0.0085,0.0117,0.0053,0.0272,0.043,0.0224
16,1.370639,1.375218,1.958914,0.566434,4.825894,,0.0087,0.005,0.0123,0.0257,0.0385,0.0207
17,1.260414,1.235612,1.851664,0.579554,4.825889,,0.006,0.0043,0.0077,0.0185,0.0283,0.0148
18,1.200589,1.189617,1.803199,0.444655,4.825856,,0.0023,0.002,0.0027,0.008,0.0105,0.0066
19,1.153221,1.134644,1.76393,0.419445,4.825838,,0.0068,0.0077,0.006,0.0168,0.0227,0.0146
20,1.112117,1.08648,1.719099,0.413897,4.825802,,0.0062,0.0087,0.0037,0.0138,0.0192,0.0122
21,0.921073,0.853437,1.536605,0.393456,4.825853,,0.018,0.0173,0.0187,0.0407,0.0598,0.0342
22,0.651686,0.537167,1.255681,0.342612,4.825923,,0.0227,0.0247,0.0207,0.0582,0.0777,0.0435
23,0.524412,0.384742,1.090385,0.375018,4.825932,,0.072,0.0883,0.0557,0.1803,0.254,0.1374
24,0.506038,0.367,1.064052,0.364518,4.825872,,0.0748,0.0863,0.0633,0.157,0.1938,0.1218
25,0.490374,0.347425,1.039851,0.377182,4.825831,,0.0608,0.058,0.0637,0.1362,0.1782,0.1035
26,0.4831,0.347487,1.034858,0.335078,4.825807,,0.0633,0.0777,0.049,0.167,0.2472,0.1274
27,0.472399,0.337202,1.02116,0.326571,4.825761,,0.0705,0.0853,0.0557,0.1627,0.2368,0.1276
