epoch,total_loss,synergy_loss,main_loss,ortho_loss,diff_loss,gran_loss,val_recall@1,val_i2t_recall@1,val_t2i_recall@1,val_recall@5,val_recall@10,val_mrr
1,5.369889,4.824239,4.825294,8.460498,4.826505,,0.0005,0.0007,0.0003,0.0025,0.0047,0.0033
2,4.351067,4.820924,4.822881,1.685934,4.825779,,0.0005,0.0007,0.0003,0.0027,0.005,0.0036
3,4.337351,4.802456,4.811873,1.689202,4.82522,,0.0008,0.001,0.0007,0.0037,0.0072,0.0042
4,3.696829,3.987077,4.163368,1.817034,4.823464,,0.0057,0.007,0.0043,0.0212,0.0347,0.0169
5,2.862235,3.002143,3.29049,1.684959,4.82435,,0.0067,0.006,0.0073,0.0248,0.0398,0.0205
6,2.54408,2.715841,3.032208,1.148948,4.824987,,0.0067,0.0063,0.007,0.021,0.0332,0.0173
7,2.484099,2.652012,2.987154,1.085736,4.825126,,0.0073,0.007,0.0077,0.0242,0.0427,0.0218
8,2.381768,2.556077,2.894991,0.942134,4.825217,,0.0065,0.005,0.008,0.0215,0.0383,0.0202
9,2.244416,2.413422,2.759998,0.82461,4.825338,,0.0107,0.0123,0.009,0.0357,0.0582,0.0289
10,2.17415,2.34549,2.706111,0.722394,4.825353,,0.0167,0.0217,0.0117,0.0518,0.0828,0.0395
11,2.088684,2.262011,2.626517,0.620491,4.825379,,0.0138,0.0167,0.011,0.0473,0.0763,0.0376
12,2.01635,2.155129,2.531745,0.727777,4.82548,,0.0092,0.0127,0.0057,0.03,0.0462,0.0257
13,1.41654,1.420848,2.006301,0.611519,4.825584,,0.0267,0.0277,0.0257,0.0927,0.149,0.0719
14,1.302053,1.29026,1.907816,0.545467,4.825611,,0.01,0.01,0.01,0.038,0.0675,0.0354
15,1.242142,1.232183,1.853986,0.469502,4.825634,,0.0095,0.0123,0.0067,0.0318,0.0488,0.0263
16,1.083203,1.037711,1.700352,0.457469,4.825756,,0.0097,0.0063,0.013,0.0335,0.0547,0.0292
17,0.716143,0.585141,1.325369,0.471518,4.826302,,0.0312,0.037,0.0253,0.0985,0.1462,0.0726
18,0.570794,0.422484,1.155839,0.433409,4.826444,,0.0567,0.0713,0.042,0.1725,0.2387,0.1201
19,0.531794,0.387567,1.112786,0.382122,4.826302,,0.0402,0.046,0.0343,0.1052,0.1485,0.0801
20,0.521103,0.374107,1.095918,0.391664,4.826215,,0.0448,0.052,0.0377,0.1112,0.1497,0.0837
21,0.460988,0.31537,1.022096,0.343858,4.826243,,0.0335,0.0323,0.0347,0.0828,0.1183,0.0659
22,0.363934,0.207882,0.872126,0.36257,4.826169,,0.029,0.029,0.029,0.0657,0.0965,0.0554
23,0.331726,0.174124,0.81324,0.372652,4.826104,,0.0697,0.0807,0.0587,0.1678,0.2298,0.1282
24,0.313307,0.157219,0.777657,0.370552,4.826037,,0.1158,0.1393,0.0923,0.2477,0.3292,0.1888
25,0.304497,0.153165,0.767514,0.34291,4.825964,,0.0792,0.0827,0.0757,0.1847,0.254,0.1408
26,0.292949,0.148281,0.759261,0.298094,4.825926,,0.1338,0.1753,0.0923,0.2518,0.3217,0.1995
27,0.300905,0.14763,0.754852,0.359833,4.825887,,0.1118,0.132,0.0917,0.2633,0.347,0.1934
28,0.297747,0.143055,0.749668,0.365517,4.825858,,0.1198,0.1393,0.1003,0.2485,0.314,0.1885
29,0.266502,0.120829,0.706094,0.311629,4.825826,,0.0352,0.0327,0.0377,0.0918,0.1275,0.0713
30,0.252623,0.106337,0.672662,0.326479,4.825811,,0.0437,0.0427,0.0447,0.108,0.1483,0.0828
31,0.241523,0.101164,0.65929,0.292723,4.825806,,0.064,0.0633,0.0647,0.1577,0.2197,0.1192
32,0.237016,0.096612,0.643066,0.304033,4.825796,,0.0638,0.0573,0.0703,0.1485,0.2058,0.1139
33,0.230638,0.09278,0.630116,0.295388,4.825785,,0.0417,0.0347,0.0487,0.104,0.149,0.0806
34,0.226627,0.089469,0.620441,0.295896,4.82578,,0.0428,0.0437,0.042,0.1062,0.1498,0.0821
35,0.232025,0.091738,0.627069,0.313212,4.825779,,0.0555,0.053,0.058,0.1313,0.1815,0.1007
36,0.227756,0.089156,0.619395,0.306174,4.825778,,0.0972,0.0913,0.103,0.2247,0.3172,0.1703
37,0.222217,0.087403,0.612992,0.285375,4.825779,,0.042,0.0367,0.0473,0.1172,0.174,0.0896
38,0.220448,0.085623,0.604434,0.29271,4.825778,,0.0458,0.0383,0.0533,0.1272,0.1897,0.0976
39,0.209603,0.076986,0.581768,0.288053,4.825762,,0.0543,0.0433,0.0653,0.1458,0.2158,0.1099
40,0.200891,0.071898,0.562246,0.278055,4.825744,,0.061,0.0487,0.0733,0.1532,0.2178,0.1148
41,0.199083,0.067717,0.550521,0.299753,4.825742,,0.0892,0.0753,0.103,0.2113,0.2948,0.158
42,0.195217,0.066822,0.545739,0.284235,4.825746,,0.0538,0.0437,0.064,0.1523,0.2233,0.1121
43,0.190453,0.065791,0.538135,0.267079,4.825743,,0.0628,0.0587,0.067,0.1545,0.2117,0.1157
44,0.188609,0.064541,0.529322,0.271953,4.82574,,0.0878,0.0633,0.1123,0.2297,0.3223,0.1659
45,0.189832,0.063418,0.527504,0.2874,4.825746,,0.0952,0.0727,0.1177,0.2475,0.341,0.1762
46,0.181493,0.062072,0.517385,0.251128,4.825742,,0.0798,0.054,0.1057,0.2217,0.3163,0.1596
47,0.18412,0.061211,0.511448,0.280289,4.825738,,0.1017,0.0893,0.114,0.2542,0.3527,0.1861
48,0.18287,0.061957,0.510457,0.270045,4.825737,,0.0822,0.0477,0.1167,0.2122,0.306,0.1578
49,0.181922,0.060998,0.505561,0.274406,4.825742,,0.0817,0.0713,0.092,0.2032,0.2715,0.1474
50,0.181786,0.061387,0.503096,0.275106,4.825743,,0.0622,0.0447,0.0797,0.1763,0.256,0.1275
51,0.177686,0.059698,0.495289,0.265499,4.825742,,0.06,0.058,0.062,0.1565,0.224,0.1158
52,0.17674,0.060979,0.495173,0.253792,4.825747,,0.1145,0.069,0.16,0.2783,0.373,0.1996
