epoch,total_loss,synergy_loss,main_loss,ortho_loss,diff_loss,gran_loss,val_recall@1,val_i2t_recall@1,val_t2i_recall@1,val_recall@5,val_recall@10,val_mrr
1,7.837634,4.847808,4.84835,18.661478,4.849977,9.176668,0.0003,0.0003,0.0003,0.0015,0.0033,0.0028
2,5.693363,4.846772,4.847251,4.372995,4.849234,9.175613,0.0005,0.0007,0.0003,0.0017,0.0033,0.0029
3,5.404577,4.845735,4.846604,2.453551,4.849168,9.174959,0.0003,0.0003,0.0003,0.0017,0.0035,0.0029
4,5.25548,4.844319,4.845633,1.468655,4.849139,9.172475,0.0005,0.0007,0.0003,0.0027,0.0048,0.0035
5,5.374494,4.841999,4.844028,2.277538,4.849066,9.167586,0.0005,0.0007,0.0003,0.0028,0.0057,0.0035
6,5.403275,4.838461,4.841752,2.492346,4.849019,9.160734,0.0005,0.0007,0.0003,0.0025,0.006,0.0036
7,5.406345,4.831593,4.837341,2.556143,4.848906,9.149204,0.0005,0.0007,0.0003,0.0032,0.007,0.0039
8,5.312838,4.813657,4.826369,2.045885,4.848781,9.118037,0.0008,0.001,0.0007,0.0038,0.0077,0.0045
9,5.203506,4.729757,4.775059,1.84535,4.848349,8.973498,0.0007,0.0007,0.0007,0.0035,0.0068,0.004
10,4.728795,4.263246,4.393579,1.797168,4.84719,8.093945,0.0012,0.0013,0.001,0.0053,0.0102,0.0051
11,4.253343,3.724342,3.947305,2.20735,4.847248,7.119576,0.0018,0.002,0.0017,0.0097,0.0172,0.0086
12,3.9725,3.416709,3.679562,2.390521,4.846854,6.571485,0.0048,0.0047,0.005,0.0165,0.0263,0.0145
13,3.804359,3.234927,3.512695,2.509432,4.846911,6.227027,0.0032,0.0037,0.0027,0.0155,0.0237,0.0122
14,3.522393,3.097478,3.375743,1.583203,4.847014,5.964031,0.0045,0.004,0.005,0.0147,0.0252,0.0136
15,3.490396,2.967873,3.256452,2.254486,4.847059,5.718154,0.0067,0.0077,0.0057,0.0238,0.0372,0.0193
16,3.31791,2.846914,3.150841,1.9217,4.847301,5.489925,0.0033,0.0033,0.0033,0.0115,0.0197,0.0112
17,3.233826,2.772734,3.08472,1.85977,4.84782,5.356392,0.0077,0.0077,0.0077,0.031,0.0507,0.0243
18,3.171513,2.697395,3.034157,1.923007,4.847609,5.229238,0.006,0.006,0.006,0.0208,0.0373,0.0185
19,2.960481,2.516019,2.919898,1.644973,4.847805,4.943436,0.0062,0.008,0.0043,0.0158,0.0248,0.014
20,2.325506,1.950558,2.502242,1.068309,4.848453,3.969481,0.0217,0.0237,0.0197,0.0648,0.1007,0.0499
21,2.160395,1.801187,2.379099,0.953212,4.848609,3.708218,0.0147,0.0107,0.0187,0.0385,0.062,0.0359
22,2.088626,1.721951,2.319044,0.986168,4.848783,3.576242,0.0228,0.0223,0.0233,0.074,0.121,0.061
23,2.041257,1.707207,2.307525,0.772008,4.848825,3.542657,0.0297,0.0373,0.022,0.081,0.1242,0.067
24,2.010555,1.671885,2.277531,0.800967,4.84884,3.481787,0.024,0.0267,0.0213,0.0827,0.1375,0.0669
25,2.003682,1.647219,2.26408,0.901718,4.848918,3.449163,0.0202,0.0227,0.0177,0.0662,0.0997,0.0519
26,1.908009,1.560599,2.206772,0.806708,4.848999,3.312588,0.0128,0.013,0.0127,0.0432,0.0723,0.037
27,1.578849,1.233005,1.957278,0.707532,4.849295,2.798103,0.0117,0.008,0.0153,0.0405,0.068,0.036
28,1.475934,1.102753,1.848583,0.898469,4.849276,2.546577,0.0147,0.0187,0.0107,0.0543,0.0823,0.044
29,1.418398,1.039405,1.783709,0.963751,4.849243,2.414799,0.0305,0.0277,0.0333,0.0975,0.1585,0.0769
30,1.36726,1.024867,1.762905,0.744743,4.849232,2.368039,0.0292,0.0377,0.0207,0.0898,0.1493,0.074
31,1.288682,0.954153,1.708948,0.681452,4.849252,2.244753,0.0125,0.0153,0.0097,0.0485,0.0778,0.0404
32,1.258278,0.936426,1.682461,0.609944,4.84915,2.216177,0.0152,0.0133,0.017,0.0505,0.0912,0.0463
33,1.187051,0.861775,1.623977,0.638732,4.849145,2.062917,0.0347,0.038,0.0313,0.1225,0.2078,0.0946
34,1.076088,0.760716,1.537551,0.571784,4.849105,1.883444,0.0535,0.0777,0.0293,0.1767,0.2847,0.1306
35,1.012584,0.689535,1.470754,0.622597,4.849142,1.768456,0.0755,0.096,0.055,0.26,0.3992,0.178
36,0.943978,0.628311,1.408162,0.598524,4.849198,1.641643,0.0593,0.0793,0.0393,0.1888,0.2873,0.1382
37,0.909931,0.600268,1.389566,0.55103,4.849223,1.591886,0.0937,0.126,0.0613,0.281,0.4373,0.1998
38,0.867562,0.568879,1.354051,0.488945,4.84915,1.536383,0.0343,0.0427,0.026,0.1152,0.1805,0.0883
39,0.864665,0.555574,1.341073,0.56992,4.849116,1.498389,0.0442,0.0557,0.0327,0.1517,0.245,0.1138
40,0.834709,0.540099,1.326967,0.474429,4.849069,1.470864,0.0848,0.1137,0.056,0.2495,0.3712,0.1793
41,0.8219,0.525811,1.306856,0.48984,4.849031,1.45275,0.0725,0.079,0.066,0.2458,0.3853,0.1719
42,0.814578,0.520984,1.30753,0.463662,4.849029,1.448833,0.0537,0.0513,0.056,0.171,0.269,0.1266
43,0.771575,0.489126,1.263694,0.428467,4.848996,1.366347,0.081,0.093,0.069,0.237,0.3503,0.1704
44,0.766367,0.473523,1.249247,0.500796,4.848946,1.33608,0.0548,0.0747,0.035,0.1867,0.2777,0.1316
45,0.732673,0.444787,1.218426,0.475102,4.848872,1.286108,0.0508,0.048,0.0537,0.1647,0.2587,0.1237
46,0.684874,0.385982,1.154397,0.569633,4.848777,1.176616,0.0342,0.029,0.0393,0.1205,0.1897,0.0922
47,0.59505,0.29858,1.040818,0.594761,4.848634,1.035954,0.0573,0.0653,0.0493,0.1863,0.2965,0.1377
48,0.55439,0.269721,1.002504,0.538899,4.848705,0.977354,0.0383,0.0413,0.0353,0.1292,0.2087,0.0988
49,0.496684,0.225393,0.944601,0.492781,4.848734,0.873411,0.0403,0.0523,0.0283,0.129,0.204,0.0977
50,0.470561,0.210276,0.911598,0.469965,4.848796,0.810675,0.1008,0.136,0.0657,0.2463,0.3402,0.1828
51,0.440197,0.192885,0.875925,0.426137,4.848779,0.757164,0.1835,0.217,0.15,0.3967,0.5178,0.2931
52,0.42194,0.177001,0.843524,0.443575,4.848787,0.716476,0.2682,0.299,0.2373,0.5573,0.705,0.4076
53,0.408721,0.168635,0.835049,0.412024,4.848795,0.702948,0.281,0.2963,0.2657,0.5717,0.697,0.4166
54,0.411594,0.160674,0.822975,0.50272,4.84882,0.671532,0.3085,0.2727,0.3443,0.6117,0.7395,0.4483
55,0.419253,0.165755,0.83459,0.510767,4.848834,0.679786,0.2532,0.2853,0.221,0.505,0.6258,0.375
56,0.382909,0.148392,0.793442,0.431631,4.848861,0.630213,0.3458,0.409,0.2827,0.6498,0.7743,0.4857
57,0.375359,0.14589,0.793184,0.398223,4.848887,0.621597,0.385,0.381,0.389,0.7297,0.8508,0.5391
58,0.375803,0.143032,0.782082,0.441054,4.848901,0.602582,0.3688,0.3447,0.393,0.7115,0.835,0.5213
59,0.349268,0.1273,0.754494,0.392879,4.848938,0.566919,0.4043,0.4263,0.3823,0.7463,0.8605,0.5563
60,0.338669,0.123364,0.735464,0.378202,4.848918,0.54659,0.3553,0.344,0.3667,0.7128,0.8493,0.5147
61,0.335115,0.121025,0.727289,0.385037,4.84895,0.532352,0.4468,0.487,0.4067,0.7795,0.8868,0.5938
62,0.337929,0.119326,0.721542,0.423989,4.848977,0.524606,0.3333,0.3087,0.358,0.6527,0.7822,0.4782
63,0.332898,0.118035,0.71664,0.40531,4.848978,0.520508,0.3558,0.3203,0.3913,0.6867,0.8112,0.5021
64,0.334354,0.112841,0.717874,0.437917,4.848987,0.517453,0.286,0.2923,0.2797,0.5772,0.716,0.423
65,0.318604,0.108241,0.698632,0.388493,4.849017,0.50247,0.2907,0.263,0.3183,0.5798,0.7193,0.4262
66,0.320943,0.112156,0.704526,0.379123,4.849006,0.502678,0.4173,0.4453,0.3893,0.7552,0.8703,0.5659
67,0.317878,0.109459,0.700535,0.379319,4.849015,0.49725,0.2772,0.261,0.2933,0.569,0.7207,0.415
68,0.328736,0.115733,0.715543,0.387343,4.849014,0.522994,0.3832,0.392,0.3743,0.721,0.8468,0.5351
69,0.32229,0.103895,0.692258,0.45181,4.849019,0.485349,0.2012,0.1613,0.241,0.4472,0.5892,0.3241
70,0.308173,0.098738,0.675547,0.4137,4.849025,0.468287,0.2532,0.2473,0.259,0.5442,0.685,0.3918
71,0.296905,0.095894,0.670069,0.365362,4.849037,0.457554,0.3113,0.248,0.3747,0.635,0.7762,0.4593
72,0.297174,0.099875,0.672382,0.342829,4.84902,0.463548,0.2538,0.2123,0.2953,0.5213,0.6583,0.3847
73,0.299722,0.098412,0.667639,0.37835,4.849022,0.454741,0.2518,0.2293,0.2743,0.5385,0.6935,0.3896
74,0.296148,0.095434,0.668221,0.36975,4.849036,0.450093,0.2642,0.2507,0.2777,0.5688,0.7227,0.4089
75,0.298155,0.096736,0.673153,0.362428,4.849055,0.462819,0.2968,0.2563,0.3373,0.6065,0.7457,0.4415
76,0.273854,0.082697,0.635274,0.343238,4.84904,0.415605,0.2693,0.2567,0.282,0.556,0.7038,0.4083
77,0.283804,0.084508,0.636705,0.399256,4.849018,0.416444,0.219,0.1923,0.2457,0.4565,0.5802,0.3365
78,0.268623,0.082316,0.623218,0.332605,4.849047,0.405833,0.26,0.214,0.306,0.5185,0.6688,0.3877
79,0.265473,0.077076,0.615272,0.35594,4.849051,0.38928,0.2262,0.192,0.2603,0.4605,0.5895,0.3443
80,0.259209,0.074416,0.609995,0.336232,4.84905,0.384049,0.2108,0.181,0.2407,0.4882,0.642,0.3466
81,0.27322,0.078468,0.615433,0.397266,4.849058,0.395393,0.154,0.1333,0.1747,0.328,0.4425,0.2495
82,0.267076,0.077686,0.612413,0.370092,4.849077,0.385841,0.2068,0.176,0.2377,0.4428,0.576,0.3262
83,0.265857,0.070436,0.596378,0.424917,4.849086,0.370603,0.1987,0.1777,0.2197,0.438,0.575,0.3196
84,0.270497,0.076029,0.61002,0.400648,4.849088,0.389767,0.2428,0.21,0.2757,0.4997,0.6465,0.3706
85,0.262252,0.073412,0.601281,0.37866,4.849098,0.374787,0.2168,0.1857,0.248,0.47,0.6162,0.3444
86,0.249832,0.069973,0.589417,0.33776,4.84912,0.358027,0.3017,0.2617,0.3417,0.6207,0.767,0.4512
87,0.239793,0.064816,0.572977,0.324621,4.849126,0.343744,0.1838,0.1803,0.1873,0.4193,0.5585,0.3039
88,0.24728,0.066291,0.567803,0.37579,4.849123,0.34262,0.2658,0.2537,0.278,0.5932,0.7527,0.4191
89,0.246972,0.066488,0.578501,0.355282,4.849153,0.34762,0.199,0.157,0.241,0.4185,0.5402,0.3105
90,0.249306,0.066518,0.576356,0.370509,4.849148,0.352215,0.167,0.133,0.201,0.3755,0.4942,0.2739
91,0.242916,0.065477,0.56513,0.356742,4.84915,0.338181,0.1947,0.1817,0.2077,0.4095,0.5465,0.3061
92,0.233488,0.061666,0.551767,0.337461,4.849142,0.324323,0.1693,0.1563,0.1823,0.3655,0.4768,0.2713
93,0.234968,0.061677,0.556778,0.335878,4.849155,0.331411,0.223,0.2323,0.2137,0.4737,0.6063,0.3457
94,0.239351,0.060075,0.552666,0.38334,4.849166,0.322682,0.2687,0.2573,0.28,0.5553,0.6912,0.404
95,0.225985,0.055195,0.540175,0.341519,4.84918,0.308447,0.2223,0.2503,0.1943,0.4742,0.6092,0.3462
96,0.221756,0.055323,0.538153,0.316397,4.849186,0.307057,0.407,0.4873,0.3267,0.7145,0.8273,0.5475
97,0.218809,0.053107,0.53027,0.321673,4.8492,0.299847,0.2477,0.267,0.2283,0.5172,0.654,0.3768
98,0.226412,0.056897,0.535981,0.345639,4.849192,0.303874,0.2928,0.3263,0.2593,0.5668,0.6957,0.4223
99,0.216604,0.051774,0.519371,0.333328,4.849208,0.290777,0.2777,0.3133,0.242,0.5733,0.7063,0.4148
100,0.209926,0.04964,0.511825,0.313259,4.849235,0.283068,0.3677,0.3983,0.337,0.6748,0.7878,0.5087
101,0.210627,0.04905,0.506243,0.332734,4.849228,0.275855,0.2645,0.3237,0.2053,0.5382,0.6763,0.3971
