epoch,total_loss,synergy_loss,main_loss,ortho_loss,diff_loss,gran_loss,val_recall@1,val_i2t_recall@1,val_t2i_recall@1,val_recall@5,val_recall@10,val_mrr
51,0.703905,0.427512,1.195915,0.415291,4.849617,1.245453,0.0482,0.0737,0.0227,0.1385,0.197,0.102
52,0.681362,0.401989,1.156825,0.462499,4.849585,1.193289,0.0753,0.1273,0.0233,0.1767,0.244,0.1335
53,0.697274,0.404914,1.158619,0.556833,4.849576,1.188311,0.0732,0.1177,0.0287,0.2078,0.293,0.1468
54,0.678536,0.408235,1.16208,0.415393,4.849592,1.184584,0.0078,0.0107,0.005,0.0197,0.0295,0.0179
55,0.646363,0.372335,1.118133,0.463319,4.849629,1.112208,0.1015,0.1737,0.0293,0.2203,0.293,0.1673
56,0.639339,0.365241,1.113703,0.460762,4.849627,1.100777,0.0335,0.0407,0.0263,0.1048,0.1573,0.0787
57,0.590011,0.328351,1.066358,0.403928,4.84961,1.027221,0.1125,0.185,0.04,0.2647,0.3672,0.1952
58,0.556744,0.300371,1.029991,0.391379,4.84961,0.967975,0.072,0.081,0.063,0.1877,0.272,0.1395
59,0.511277,0.254361,0.978926,0.426044,4.849572,0.862503,0.0592,0.0477,0.0707,0.1587,0.23,0.1189
60,0.466114,0.219471,0.912144,0.420392,4.84954,0.779701,0.0497,0.057,0.0423,0.1358,0.194,0.1018
61,0.440631,0.201673,0.881541,0.405326,4.849554,0.724363,0.0943,0.1387,0.05,0.2162,0.2953,0.1635
62,0.42321,0.179559,0.847928,0.456222,4.849531,0.684782,0.0987,0.1413,0.056,0.2302,0.3178,0.1732
63,0.410296,0.17432,0.838956,0.413191,4.849515,0.672181,0.1655,0.2493,0.0817,0.3263,0.4298,0.253
64,0.384947,0.155754,0.801421,0.411989,4.849428,0.61625,0.0942,0.1327,0.0557,0.2188,0.2972,0.1648
65,0.367754,0.140305,0.777268,0.413619,4.849398,0.590595,0.1503,0.1927,0.108,0.3127,0.4035,0.2358
66,0.35209,0.12665,0.746556,0.432531,4.849353,0.555769,0.0913,0.1073,0.0753,0.2027,0.2725,0.1548
