epoch,total_loss,synergy_loss,main_loss,ortho_loss,diff_loss,gran_loss,val_recall@1,val_i2t_recall@1,val_t2i_recall@1,val_recall@5,val_recall@10,val_mrr
1,6.805143,4.849902,4.850202,17.884441,4.85107,,0.0003,0.0003,0.0003,0.0015,0.003,0.0028
2,5.020172,4.849288,4.84939,5.988378,4.849855,,0.0003,0.0003,0.0003,0.0017,0.0033,0.0028
3,4.429375,4.849024,4.849145,2.0512,4.849555,,0.0003,0.0003,0.0003,0.0017,0.0032,0.0029
4,4.43912,4.848877,4.84904,2.116946,4.849524,,0.0003,0.0003,0.0003,0.0017,0.0035,0.0029
5,4.363058,4.848736,4.848903,1.610661,4.849417,,0.0003,0.0003,0.0003,0.0018,0.0037,0.0029
6,4.401378,4.848622,4.848819,1.866729,4.849392,,0.0003,0.0003,0.0003,0.0017,0.0035,0.0029
7,4.483154,4.848559,4.848761,2.412258,4.849378,,0.0003,0.0003,0.0003,0.002,0.0045,0.0031
8,4.296408,4.848505,4.848698,1.167602,4.849283,,0.0003,0.0003,0.0003,0.0022,0.0045,0.0031
9,4.235381,4.848436,4.848641,0.761132,4.849259,,0.0003,0.0003,0.0003,0.0022,0.0045,0.0032
10,4.279853,4.848352,4.84857,1.058072,4.849228,,0.0005,0.0003,0.0007,0.0022,0.004,0.0033
11,4.416003,4.848266,4.848507,1.966194,4.84921,,0.0005,0.0003,0.0007,0.0025,0.0047,0.0033
12,4.482552,4.848251,4.8485,2.409928,4.849197,,0.0005,0.0003,0.0007,0.0023,0.0043,0.0033
13,4.361432,4.848209,4.848474,1.602677,4.849195,,0.0005,0.0003,0.0007,0.0023,0.0042,0.0033
14,4.320058,4.848194,4.848461,1.326935,4.849179,,0.0003,0.0003,0.0003,0.002,0.0037,0.003
15,4.485554,4.848128,4.848416,2.430585,4.849157,,0.0005,0.0003,0.0007,0.002,0.004,0.0032
16,4.330769,4.848063,4.848373,1.399024,4.849147,,0.0005,0.0003,0.0007,0.0022,0.004,0.0032
17,4.298603,4.847967,4.848306,1.185092,4.84915,,0.0005,0.0003,0.0007,0.0022,0.0043,0.0033
18,4.2671,4.847861,4.848236,0.975623,4.849147,,0.0005,0.0003,0.0007,0.0023,0.0045,0.0033
19,4.348414,4.847735,4.848152,1.518377,4.849145,,0.0005,0.0003,0.0007,0.0023,0.0043,0.0033
20,4.433852,4.847608,4.848066,2.088624,4.849136,,0.0005,0.0003,0.0007,0.0023,0.0047,0.0033
21,4.276855,4.847497,4.848001,1.042551,4.849153,,0.0005,0.0003,0.0007,0.0025,0.005,0.0034
22,4.257557,4.847286,4.847867,0.914987,4.84915,,0.0005,0.0003,0.0007,0.0025,0.0047,0.0034
23,4.321034,4.847055,4.847717,1.339363,4.849153,,0.0007,0.0007,0.0007,0.0027,0.0048,0.0036
24,4.29687,4.846761,4.847538,1.179788,4.849145,,0.0005,0.0003,0.0007,0.0025,0.0052,0.0035
25,4.309661,4.8464,4.847314,1.266922,4.849156,,0.0005,0.0003,0.0007,0.0027,0.0055,0.0035
26,4.248824,4.845971,4.847053,0.86355,4.849162,,0.0008,0.001,0.0007,0.0033,0.0058,0.0039
27,4.332752,4.84549,4.846781,1.425515,4.849135,,0.0007,0.0007,0.0007,0.0032,0.0062,0.0038
28,4.309891,4.8446,4.846245,1.277682,4.84914,,0.0007,0.0007,0.0007,0.0037,0.0063,0.0039
29,4.219821,4.843267,4.845465,0.684031,4.849121,,0.0007,0.0007,0.0007,0.0033,0.0072,0.004
30,4.295104,4.841235,4.84427,1.196314,4.849139,,0.0007,0.0007,0.0007,0.0035,0.0068,0.004
31,4.282341,4.837689,4.842197,1.129357,4.849117,,0.0007,0.0007,0.0007,0.0033,0.0067,0.0041
32,4.266043,4.829739,4.837678,1.061181,4.849072,,0.0007,0.0007,0.0007,0.0042,0.008,0.0043
33,4.252138,4.807174,4.824906,1.083292,4.848983,,0.0007,0.0007,0.0007,0.0035,0.007,0.0041
34,4.142608,4.662136,4.739041,1.096077,4.848526,,0.0007,0.0007,0.0007,0.0037,0.0073,0.0042
35,3.768251,4.146282,4.279297,1.448723,4.847794,,0.0017,0.0007,0.0027,0.0053,0.0105,0.006
36,3.546803,3.70662,3.924914,2.350111,4.847735,,0.0028,0.003,0.0027,0.0087,0.0142,0.008
37,3.173644,3.311158,3.580131,2.035769,4.847592,,0.0043,0.0027,0.006,0.0168,0.0297,0.0153
38,2.958364,3.109335,3.391242,1.726989,4.847929,,0.0045,0.0043,0.0047,0.0153,0.0275,0.0128
39,2.758208,2.962583,3.248477,1.218889,4.848252,,0.0038,0.0023,0.0053,0.0148,0.0242,0.0122
40,2.658022,2.829374,3.127771,1.289165,4.848421,,0.003,0.0027,0.0033,0.0073,0.0128,0.0079
41,2.570427,2.766847,3.07263,1.049667,4.848563,,0.005,0.0043,0.0057,0.017,0.0288,0.0145
42,2.550886,2.727383,3.044266,1.128222,4.84855,,0.0035,0.003,0.004,0.0095,0.0173,0.0101
43,2.510701,2.694182,3.024716,1.030267,4.848693,,0.0035,0.0033,0.0037,0.0112,0.018,0.0108
44,2.433907,2.675361,3.013575,0.61472,4.848754,,0.0045,0.005,0.004,0.013,0.023,0.0131
45,2.452112,2.669499,3.007886,0.769067,4.848786,,0.005,0.0043,0.0057,0.0207,0.0362,0.0191
46,2.416852,2.647599,2.987688,0.655832,4.84877,,0.0075,0.007,0.008,0.0242,0.041,0.0216
