epoch,total_loss,synergy_loss,main_loss,ortho_loss,diff_loss,gran_loss,val_recall@1,val_i2t_recall@1,val_t2i_recall@1,val_recall@5,val_recall@10,val_mrr
1,7.48433,4.8493,4.849998,22.415234,4.85136,,0.0003,0.0003,0.0003,0.0017,0.0033,0.0029
2,5.292244,4.847485,4.848614,7.811041,4.849891,,0.0003,0.0003,0.0003,0.0017,0.0035,0.0029
3,4.984476,4.847001,4.848179,5.761926,4.849643,,0.0003,0.0003,0.0003,0.0022,0.0038,0.003
4,4.633098,4.846496,4.847805,3.422097,4.849512,,0.0005,0.0007,0.0003,0.0023,0.0047,0.0034
5,4.304794,4.845817,4.847272,1.237062,4.849432,,0.0005,0.0007,0.0003,0.0025,0.005,0.0034
6,4.362626,4.844871,4.846658,1.627524,4.849326,,0.0005,0.0007,0.0003,0.0027,0.0053,0.0035
7,4.407734,4.843789,4.845987,1.933829,4.849254,,0.0005,0.0007,0.0003,0.0025,0.0048,0.0035
8,4.393205,4.842249,4.844989,1.84497,4.849163,,0.0005,0.0007,0.0003,0.0027,0.0052,0.0035
9,4.350162,4.839815,4.843583,1.570435,4.849035,,0.0005,0.0007,0.0003,0.0025,0.0053,0.0036
10,4.287905,4.835257,4.84089,1.17873,4.848904,,0.0007,0.0007,0.0007,0.0027,0.0057,0.004
11,4.303568,4.825013,4.834961,1.335449,4.848682,,0.0007,0.0007,0.0007,0.0045,0.0083,0.0048
12,4.279062,4.796901,4.818624,1.315677,4.848381,,0.0008,0.001,0.0007,0.0033,0.0072,0.0041
13,4.175222,4.638255,4.722586,1.43893,4.847763,,0.0007,0.0007,0.0007,0.0033,0.0067,0.004
14,3.773584,4.124332,4.267531,1.595083,4.846892,,0.0008,0.001,0.0007,0.0038,0.0072,0.0042
15,3.470099,3.716332,3.956372,1.754722,4.8475,,0.0028,0.0033,0.0023,0.0083,0.0133,0.0075
16,3.167385,3.375059,3.645634,1.629795,4.847985,,0.0045,0.0057,0.0033,0.0158,0.0257,0.0137
17,2.979183,3.17027,3.449026,1.524682,4.84806,,0.0045,0.0053,0.0037,0.0157,0.025,0.0139
18,2.855121,3.042495,3.329064,1.411243,4.848378,,0.0055,0.0063,0.0047,0.0163,0.0262,0.0154
19,2.743648,2.915765,3.211624,1.373838,4.848518,,0.0025,0.0023,0.0027,0.0082,0.0135,0.0079
20,2.651252,2.827241,3.127283,1.253921,4.848722,,0.0035,0.004,0.003,0.016,0.0238,0.0119
21,2.633995,2.771295,3.078421,1.446456,4.848728,,0.0015,0.0017,0.0013,0.008,0.0123,0.0067
22,2.50963,2.731905,3.049906,0.826067,4.848762,,0.0045,0.0047,0.0043,0.0127,0.0198,0.0115
23,2.515205,2.704669,3.035172,1.000909,4.84882,,0.0032,0.0033,0.003,0.0108,0.0163,0.0103
24,2.509558,2.686806,3.022057,1.058153,4.848885,,0.0027,0.003,0.0023,0.0107,0.0157,0.01
25,2.494472,2.684061,3.019953,0.972276,4.848829,,0.0082,0.0083,0.008,0.022,0.0353,0.0204
26,2.494104,2.671252,3.010471,1.037978,4.848807,,0.0068,0.0067,0.007,0.0227,0.036,0.0195
27,2.499469,2.660853,3.000673,1.131867,4.848789,,0.0062,0.007,0.0053,0.0183,0.0303,0.0187
28,2.447692,2.641052,2.984169,0.894496,4.848811,,0.0042,0.0037,0.0047,0.015,0.0257,0.0139
29,2.411368,2.590569,2.931598,0.941191,4.848824,,0.0035,0.003,0.004,0.0137,0.0245,0.0125
30,2.36661,2.528362,2.863472,1.003203,4.848871,,0.006,0.0053,0.0067,0.0198,0.031,0.0171
31,2.312923,2.491017,2.831178,0.85018,4.848962,,0.0065,0.0073,0.0057,0.0165,0.0237,0.0142
32,2.294186,2.471977,2.822373,0.819512,4.849006,,0.0055,0.0057,0.0053,0.0153,0.0252,0.0136
33,2.275899,2.428427,2.778313,0.945064,4.848989,,0.0085,0.0087,0.0083,0.0262,0.041,0.0225
34,2.217381,2.404339,2.764834,0.677289,4.84899,,0.0043,0.0043,0.0043,0.0128,0.0212,0.012
35,2.226887,2.387995,2.749555,0.831857,4.848991,,0.007,0.0077,0.0063,0.023,0.0358,0.0186
36,2.187751,2.363842,2.736933,0.692446,4.849045,,0.0117,0.0147,0.0087,0.0335,0.0458,0.0272
37,2.186347,2.342334,2.717624,0.802034,4.84909,,0.0062,0.0077,0.0047,0.0212,0.034,0.0168
38,2.133869,2.307584,2.694911,0.633049,4.849115,,0.0062,0.008,0.0043,0.0178,0.0285,0.0147
39,2.039208,2.204291,2.621757,0.547118,4.849094,,0.0085,0.0113,0.0057,0.0218,0.0308,0.018
40,1.668565,1.711081,2.252171,0.706185,4.849122,,0.0208,0.025,0.0167,0.0683,0.1072,0.0501
41,1.520363,1.537046,2.122504,0.645214,4.849121,,0.0205,0.0243,0.0167,0.0808,0.1297,0.0584
42,1.467314,1.459764,2.066242,0.701462,4.849127,,0.0285,0.0323,0.0247,0.0782,0.1152,0.0609
43,1.456621,1.416531,2.018791,0.880785,4.849105,,0.0387,0.0433,0.034,0.1133,0.166,0.082
44,1.436654,1.430408,2.027289,0.676206,4.849107,,0.0332,0.0373,0.029,0.0977,0.1327,0.0717
45,1.365577,1.369865,1.982815,0.524011,4.849103,,0.0242,0.0267,0.0217,0.0702,0.1037,0.0552
46,1.343875,1.350534,1.960918,0.492292,4.849094,,0.0343,0.0403,0.0283,0.0887,0.1285,0.0712
47,1.340489,1.328066,1.940012,0.594961,4.849109,,0.0188,0.021,0.0167,0.0583,0.0912,0.0493
48,1.35501,1.310757,1.927209,0.783839,4.84914,,0.0262,0.031,0.0213,0.0718,0.1072,0.0572
49,1.340649,1.302118,1.923731,0.730175,4.849139,,0.0183,0.018,0.0187,0.0438,0.073,0.0434
50,1.294217,1.285387,1.909266,0.512413,4.849142,,0.035,0.0367,0.0333,0.1073,0.1673,0.0825
51,1.269437,1.266708,1.896096,0.445714,4.849146,,0.0158,0.0187,0.013,0.0412,0.0638,0.0364
52,1.261285,1.25214,1.893668,0.457733,4.84915,,0.021,0.024,0.018,0.0585,0.0868,0.046
53,1.261709,1.252026,1.895103,0.459147,4.849155,,0.02,0.0243,0.0157,0.054,0.0875,0.0475
54,1.273155,1.248697,1.885047,0.563285,4.849206,,0.0187,0.0223,0.015,0.0523,0.0783,0.0423
55,1.219462,1.20618,1.855982,0.428326,4.849258,,0.0407,0.051,0.0303,0.1118,0.162,0.0839
56,1.17599,1.141829,1.803943,0.486752,4.84929,,0.0263,0.026,0.0267,0.0818,0.1297,0.0665
57,1.060386,1.015455,1.690371,0.415104,4.849414,,0.0158,0.0203,0.0113,0.0412,0.0585,0.0335
58,0.886961,0.775292,1.502782,0.549762,4.849478,,0.0233,0.03,0.0167,0.0512,0.0732,0.0429
59,0.821467,0.693076,1.430575,0.565682,4.849481,,0.0332,0.0397,0.0267,0.072,0.1027,0.0621
60,0.728731,0.584442,1.33663,0.543453,4.849494,,0.0222,0.0223,0.022,0.0552,0.0793,0.046
61,0.644996,0.491147,1.248138,0.507487,4.849462,,0.0475,0.06,0.035,0.1257,0.1887,0.0988
62,0.609151,0.468382,1.223663,0.399798,4.849413,,0.0528,0.0713,0.0343,0.1213,0.1743,0.0981
63,0.591399,0.439387,1.190064,0.451901,4.849377,,0.0245,0.0247,0.0243,0.0813,0.1308,0.0653
64,0.609582,0.449604,1.19626,0.520584,4.849389,,0.026,0.0283,0.0237,0.076,0.1182,0.0617
65,0.566426,0.417033,1.158936,0.423782,4.849371,,0.0915,0.113,0.07,0.2618,0.3738,0.1859
66,0.540755,0.400378,1.140776,0.349023,4.84937,,0.0345,0.0287,0.0403,0.1073,0.166,0.0828
67,0.538313,0.393491,1.138254,0.365955,4.849347,,0.0443,0.046,0.0427,0.1385,0.2162,0.1045
68,0.549132,0.406905,1.147699,0.367362,4.849353,,0.0467,0.0573,0.036,0.1268,0.1877,0.0976
69,0.54809,0.40385,1.143819,0.378829,4.849355,,0.0305,0.03,0.031,0.0843,0.1247,0.067
70,0.521793,0.369645,1.098501,0.412154,4.849367,,0.0347,0.0283,0.041,0.1057,0.1633,0.0826
71,0.508985,0.366647,1.103825,0.332665,4.849355,,0.0377,0.0317,0.0437,0.1035,0.1477,0.0803
72,0.508402,0.358244,1.084824,0.390523,4.849329,,0.0392,0.0327,0.0457,0.112,0.1658,0.0885
73,0.477636,0.324555,1.050595,0.377045,4.849324,,0.0737,0.072,0.0753,0.2003,0.2982,0.1505
74,0.442129,0.289932,0.997842,0.3607,4.849324,,0.097,0.0837,0.1103,0.2505,0.3592,0.1845
75,0.437991,0.281027,0.986511,0.386809,4.849314,,0.151,0.157,0.145,0.4127,0.5792,0.2831
76,0.423352,0.25926,0.952989,0.428235,4.849285,,0.2048,0.223,0.1867,0.5185,0.6857,0.3533
77,0.4089,0.250518,0.94157,0.384998,4.849287,,0.3065,0.3493,0.2637,0.685,0.8295,0.4741
78,0.411389,0.258017,0.947784,0.360808,4.849277,,0.1728,0.2037,0.142,0.4632,0.6283,0.3144
79,0.399833,0.242339,0.922937,0.384836,4.849263,,0.2285,0.237,0.22,0.5627,0.7368,0.3826
80,0.389682,0.232884,0.922094,0.359259,4.84928,,0.2617,0.292,0.2313,0.6045,0.76,0.4179
81,0.383968,0.2302,0.907144,0.352727,4.849278,,0.2037,0.244,0.1633,0.4912,0.628,0.3417
82,0.391185,0.234561,0.927354,0.354995,4.849276,,0.2392,0.2647,0.2137,0.5838,0.7512,0.3963
83,0.383174,0.228958,0.908443,0.351087,4.849263,,0.2192,0.2433,0.195,0.548,0.7153,0.3731
84,0.369034,0.215445,0.892257,0.336953,4.849265,,0.2625,0.3233,0.2017,0.6665,0.8252,0.4411
85,0.372602,0.217428,0.89252,0.351801,4.84926,,0.0813,0.088,0.0747,0.2142,0.3117,0.1589
86,0.350674,0.195172,0.866463,0.336796,4.849252,,0.1347,0.124,0.1453,0.3608,0.4952,0.2502
87,0.342329,0.191818,0.854324,0.31188,4.849251,,0.1325,0.1317,0.1333,0.3348,0.4672,0.2402
88,0.333182,0.174628,0.829403,0.358624,4.849264,,0.315,0.365,0.265,0.6843,0.8228,0.4797
89,0.312977,0.154985,0.788819,0.363152,4.849234,,0.3428,0.415,0.2707,0.7353,0.8597,0.5143
90,0.303836,0.151376,0.783806,0.324536,4.849243,,0.3655,0.4317,0.2993,0.6605,0.7828,0.5035
91,0.307502,0.147827,0.769756,0.383088,4.849236,,0.3693,0.4403,0.2983,0.7637,0.8843,0.5371
92,0.30199,0.141859,0.777867,0.361389,4.849226,,0.1643,0.1627,0.166,0.4467,0.6203,0.3039
93,0.289334,0.135848,0.747132,0.344047,4.849215,,0.2102,0.2043,0.216,0.4693,0.6208,0.3409
94,0.282981,0.127657,0.73355,0.355298,4.849181,,0.2537,0.3047,0.2027,0.6062,0.753,0.4125
95,0.26419,0.120871,0.716909,0.28161,4.849193,,0.1632,0.1437,0.1827,0.3958,0.5232,0.2806
96,0.265904,0.117742,0.709108,0.316996,4.849188,,0.2348,0.2487,0.221,0.5407,0.7033,0.3809
97,0.267966,0.112896,0.697972,0.366596,4.849171,,0.1955,0.1583,0.2327,0.4453,0.5912,0.321
98,0.265047,0.112266,0.697571,0.350401,4.849172,,0.1173,0.108,0.1267,0.2932,0.41,0.2138
99,0.253516,0.10525,0.674251,0.335022,4.84917,,0.2413,0.1797,0.303,0.5548,0.705,0.3894
100,0.251919,0.106298,0.677997,0.314837,4.849172,,0.2177,0.1843,0.251,0.4955,0.6497,0.3539
101,0.246893,0.10165,0.667602,0.315337,4.849171,,0.1173,0.117,0.1177,0.2978,0.4093,0.2143
102,0.249176,0.104913,0.671734,0.310906,4.849176,,0.1443,0.1153,0.1733,0.3697,0.5125,0.2622
103,0.246025,0.103092,0.670802,0.299028,4.849174,,0.1915,0.178,0.205,0.4402,0.5792,0.3159
104,0.238617,0.095905,0.657111,0.299043,4.849178,,0.0665,0.0567,0.0763,0.1683,0.2555,0.1312
105,0.254528,0.104038,0.678002,0.342019,4.849175,,0.1518,0.109,0.1947,0.3825,0.5248,0.2711
106,0.262142,0.10558,0.68262,0.37994,4.849166,,0.1552,0.137,0.1733,0.3728,0.5002,0.268
107,0.245615,0.100216,0.660921,0.321933,4.849174,,0.0992,0.0803,0.118,0.2578,0.3627,0.1879
108,0.253816,0.106043,0.685422,0.318691,4.849182,,0.0967,0.066,0.1273,0.2645,0.3735,0.1896
109,0.236423,0.095698,0.650102,0.29466,4.849184,,0.0858,0.0587,0.113,0.2383,0.3382,0.1715
