epoch,total_loss,synergy_loss,main_loss,ortho_loss,diff_loss,gran_loss,val_recall@1,val_i2t_recall@1,val_t2i_recall@1,val_recall@5,val_recall@10,val_mrr
55,1.290382,1.279009,1.903519,0.522149,4.848932,,0.0188,0.0193,0.0183,0.0562,0.087,0.0464
56,1.297413,1.281701,1.908625,0.550553,4.848952,,0.0213,0.024,0.0187,0.0633,0.0937,0.0486
57,1.282153,1.277732,1.904188,0.471929,4.848951,,0.0152,0.0143,0.016,0.0478,0.0697,0.036
58,1.274277,1.270336,1.902839,0.453274,4.848975,,0.0285,0.0367,0.0203,0.0872,0.1308,0.067
59,1.284193,1.279402,1.903732,0.478903,4.848952,,0.0402,0.0467,0.0337,0.1125,0.1728,0.0881
60,1.265666,1.254483,1.886945,0.485757,4.848953,,0.0135,0.0127,0.0143,0.0347,0.0533,0.0292
61,1.277505,1.245757,1.877634,0.614909,4.848977,,0.026,0.026,0.026,0.0722,0.1117,0.0573
62,1.275405,1.251824,1.885519,0.564103,4.849004,,0.0402,0.043,0.0373,0.1182,0.1833,0.0913
63,1.240285,1.23671,1.871792,0.413771,4.849027,,0.019,0.0193,0.0187,0.0575,0.088,0.0461
64,1.225259,1.228848,1.870032,0.350011,4.849061,,0.0167,0.017,0.0163,0.0488,0.0752,0.0388
65,1.22629,1.228149,1.859343,0.374164,4.849044,,0.0258,0.0263,0.0253,0.0773,0.1133,0.0607
66,1.217117,1.212978,1.843755,0.399533,4.849035,,0.0278,0.0313,0.0243,0.0852,0.1333,0.0673
67,1.204794,1.202024,1.825359,0.389373,4.849007,,0.0365,0.0413,0.0317,0.1073,0.1662,0.0845
68,1.191588,1.194246,1.811597,0.353396,4.849016,,0.0355,0.0383,0.0327,0.1083,0.1687,0.0848
69,1.180822,1.171824,1.798098,0.396783,4.849021,,0.025,0.0253,0.0247,0.0807,0.1253,0.0653
70,1.189937,1.180884,1.800665,0.414865,4.849006,,0.0223,0.023,0.0217,0.0813,0.1385,0.0662
71,1.18158,1.171323,1.780963,0.426845,4.849026,,0.02,0.0207,0.0193,0.0685,0.11,0.0563
72,1.144462,1.136342,1.751172,0.370702,4.849031,,0.0242,0.0253,0.023,0.0865,0.1392,0.068
73,1.105011,1.088714,1.708079,0.371542,4.849015,,0.0332,0.0347,0.0317,0.114,0.188,0.0887
74,1.084878,1.051689,1.674898,0.442004,4.84902,,0.0315,0.0293,0.0337,0.1018,0.1622,0.0793
75,1.048271,1.017163,1.642475,0.390799,4.849043,,0.0235,0.0257,0.0213,0.0843,0.1312,0.0633
76,1.026967,0.98844,1.614151,0.411005,4.849055,,0.033,0.0373,0.0287,0.1015,0.1553,0.0758
77,0.972942,0.925411,1.56772,0.385876,4.849065,,0.0285,0.029,0.028,0.0898,0.1463,0.0707
78,0.853882,0.768232,1.43862,0.44538,4.849104,,0.0813,0.09,0.0727,0.2295,0.3277,0.1643
79,0.704612,0.588196,1.28535,0.434765,4.849128,,0.0968,0.088,0.1057,0.3407,0.5012,0.2219
80,0.672329,0.535945,1.226929,0.523863,4.849088,,0.1492,0.169,0.1293,0.424,0.5967,0.286
81,0.644187,0.516311,1.205527,0.449865,4.849091,,0.1643,0.1853,0.1433,0.449,0.6145,0.3042
82,0.61654,0.49149,1.179362,0.407997,4.849096,,0.1555,0.1417,0.1693,0.4297,0.6018,0.2922
83,0.608559,0.489546,1.165581,0.381583,4.849097,,0.156,0.1603,0.1517,0.402,0.5407,0.2779
84,0.58667,0.465772,1.156621,0.350623,4.849104,,0.0772,0.076,0.0783,0.2332,0.3607,0.1726
85,0.579337,0.451363,1.131694,0.397416,4.849092,,0.205,0.2397,0.1703,0.5352,0.7268,0.3609
86,0.542387,0.410943,1.101978,0.365857,4.849093,,0.0945,0.1077,0.0813,0.3012,0.4608,0.2084
87,0.503741,0.363033,1.063798,0.366734,4.849131,,0.1477,0.1707,0.1247,0.4118,0.5662,0.2791
88,0.451405,0.314877,0.987864,0.327745,4.849149,,0.2848,0.4103,0.1593,0.6047,0.7505,0.4323
89,0.422997,0.280575,0.946587,0.342041,4.849134,,0.3358,0.4503,0.2213,0.6873,0.8202,0.4912
90,0.42267,0.269756,0.924249,0.416529,4.849173,,0.2357,0.3003,0.171,0.582,0.7367,0.3946
91,0.406932,0.252924,0.907542,0.406818,4.849197,,0.2695,0.359,0.18,0.643,0.7917,0.4356
92,0.385677,0.242566,0.896394,0.324869,4.849218,,0.2012,0.2277,0.1747,0.4923,0.647,0.3421
93,0.365363,0.216537,0.852234,0.361115,4.849246,,0.33,0.4037,0.2563,0.6605,0.7983,0.4816
94,0.364301,0.210763,0.849478,0.382726,4.849246,,0.3628,0.4567,0.269,0.724,0.8417,0.5222
95,0.365856,0.207603,0.825707,0.438485,4.849229,,0.4092,0.4767,0.3417,0.762,0.8808,0.564
96,0.333202,0.183247,0.790621,0.373114,4.84922,,0.481,0.564,0.398,0.8408,0.9298,0.6359
97,0.32398,0.179101,0.785764,0.336075,4.849224,,0.3097,0.3313,0.288,0.6717,0.8283,0.4722
98,0.31665,0.173799,0.775101,0.324402,4.849218,,0.4662,0.5247,0.4077,0.8255,0.9258,0.6226
99,0.313291,0.165481,0.767655,0.347979,4.849233,,0.3695,0.4017,0.3373,0.7577,0.888,0.5383
