epoch,total_loss,synergy_loss,main_loss,ortho_loss,diff_loss,gran_loss,val_recall@1,val_i2t_recall@1,val_t2i_recall@1,val_recall@5,val_recall@10,val_mrr
1,7.740576,4.849949,4.850976,17.99509,4.850378,9.186503,0.0003,0.0003,0.0003,0.0015,0.0033,0.0028
2,5.933318,4.848708,4.849329,5.957245,4.849781,9.182049,0.0003,0.0003,0.0003,0.0017,0.0033,0.0029
3,5.637622,4.847625,4.848471,3.9927,4.84953,9.180666,0.0003,0.0003,0.0003,0.0022,0.0038,0.003
4,5.432954,4.846449,4.847613,2.637307,4.849409,9.176435,0.0003,0.0003,0.0003,0.002,0.0047,0.0031
5,5.307211,4.844998,4.846535,1.80964,4.849352,9.172099,0.0005,0.0007,0.0003,0.003,0.0057,0.0037
6,5.40421,4.842687,4.844971,2.469154,4.849323,9.170959,0.0007,0.0007,0.0007,0.0035,0.0072,0.0041
7,5.278144,4.838312,4.842016,1.657034,4.849288,9.16283,0.0007,0.0007,0.0007,0.004,0.008,0.0042
8,5.326189,4.829033,4.836144,2.036876,4.849254,9.145574,0.0008,0.001,0.0007,0.0035,0.0068,0.0042
9,5.27414,4.801269,4.819286,1.863522,4.849273,9.099292,0.0007,0.0007,0.0007,0.0033,0.0067,0.004
10,5.258668,4.62518,4.707761,2.87208,4.849399,8.799364,0.0007,0.0007,0.0007,0.0035,0.0068,0.0041
11,4.663614,4.073989,4.214532,2.660146,4.849964,7.735931,0.0015,0.0013,0.0017,0.007,0.0112,0.0061
12,4.179167,3.635748,3.868443,2.301832,4.851315,6.969674,0.0045,0.005,0.004,0.0192,0.0295,0.0146
13,3.982973,3.373575,3.634216,2.765915,4.851845,6.484183,0.0037,0.004,0.0033,0.0177,0.027,0.0136
14,3.673431,3.179244,3.451797,2.034581,4.85176,6.11376,0.0045,0.0047,0.0043,0.0205,0.0362,0.0179
15,3.415342,3.001248,3.288394,1.530444,4.851922,5.772855,0.0043,0.005,0.0037,0.02,0.0323,0.0165
16,3.324072,2.87715,3.1679,1.779644,4.852003,5.533986,0.0058,0.0063,0.0053,0.0258,0.0432,0.0212
17,3.193296,2.783254,3.090344,1.532533,4.852184,5.362322,0.0053,0.0053,0.0053,0.029,0.0483,0.0219
18,3.115024,2.72614,3.046662,1.381684,4.851691,5.264477,0.006,0.0077,0.0043,0.0245,0.0398,0.0202
