epoch,total_loss,synergy_loss,main_loss,ortho_loss,diff_loss,gran_loss,val_recall@1,val_i2t_recall@1,val_t2i_recall@1,val_recall@5,val_recall@10,val_mrr
1,6.140605,4.82297,4.823647,7.512505,4.825875,9.140696,0.0005,0.0007,0.0003,0.0025,0.0052,0.0035
2,5.256016,4.812346,4.816638,1.687516,4.825463,9.115361,0.0007,0.0007,0.0007,0.0042,0.0085,0.0045
3,4.639422,4.136308,4.273957,2.060429,4.823867,7.869654,0.0037,0.0033,0.004,0.0143,0.0228,0.0118
4,3.514151,3.056953,3.335261,1.808177,4.823259,5.888533,0.0042,0.0043,0.004,0.0135,0.0203,0.0116
5,3.045244,2.654158,2.994247,1.369613,4.823988,5.157495,0.0088,0.0107,0.007,0.0318,0.0517,0.0247
6,2.166704,1.787365,2.360132,1.08996,4.825794,3.693962,0.0117,0.0083,0.015,0.0402,0.0712,0.0367
7,1.631942,1.280075,1.973527,0.813371,4.825948,2.831815,0.015,0.0127,0.0173,0.052,0.0885,0.0458
8,1.315959,0.979675,1.710558,0.725864,4.825948,2.28179,0.0138,0.0143,0.0133,0.0438,0.0705,0.0387
9,1.157016,0.838986,1.586334,0.615656,4.825977,2.020604,0.0143,0.015,0.0137,0.0518,0.0907,0.0448
10,0.903801,0.591434,1.360791,0.597175,4.825721,1.576337,0.0943,0.148,0.0407,0.284,0.4133,0.1976
11,0.812937,0.510647,1.279684,0.558741,4.825696,1.412682,0.0488,0.0677,0.03,0.1693,0.2798,0.1255
12,0.734054,0.450237,1.20167,0.491073,4.825591,1.274047,0.07,0.099,0.041,0.1957,0.2892,0.1438
13,0.652862,0.373228,1.106807,0.517002,4.825464,1.113525,0.1683,0.243,0.0937,0.4015,0.5287,0.2831
14,0.509582,0.245061,0.940626,0.510747,4.825354,0.855557,0.2083,0.274,0.1427,0.4767,0.6183,0.339
15,0.381618,0.142736,0.764202,0.504732,4.825381,0.602892,0.253,0.3233,0.1827,0.5442,0.6807,0.3913
16,0.336258,0.115765,0.70257,0.458123,4.825444,0.517779,0.251,0.3203,0.1817,0.5137,0.6457,0.3778
17,0.325128,0.110098,0.686577,0.447961,4.82549,0.490548,0.2435,0.289,0.198,0.5188,0.6527,0.3761
18,0.300141,0.099426,0.656141,0.390057,4.825513,0.457769,0.2285,0.2163,0.2407,0.5105,0.657,0.363
19,0.295202,0.094727,0.646885,0.400385,4.825534,0.441946,0.228,0.255,0.201,0.5015,0.6408,0.3607
20,0.298511,0.095966,0.645707,0.418003,4.825564,0.442914,0.3333,0.4187,0.248,0.6358,0.7768,0.4741
21,0.284142,0.091072,0.631996,0.373399,4.825591,0.425363,0.3708,0.4263,0.3153,0.6973,0.826,0.5189
22,0.281063,0.085153,0.618769,0.407627,4.8256,0.408156,0.3218,0.305,0.3387,0.6578,0.8,0.4748
23,0.271914,0.08084,0.604492,0.395157,4.825601,0.391964,0.45,0.6393,0.2607,0.7527,0.8558,0.5841
24,0.258796,0.073093,0.580423,0.394757,4.825643,0.359871,0.4833,0.6303,0.3363,0.8045,0.9043,0.6248
25,0.249807,0.071174,0.570273,0.362356,4.825648,0.351366,0.3578,0.4667,0.249,0.6763,0.8078,0.504
26,0.237353,0.064295,0.552854,0.346229,4.825694,0.330558,0.442,0.5457,0.3383,0.7742,0.8902,0.5898
27,0.229566,0.060515,0.541156,0.334921,4.825711,0.317616,0.4958,0.6643,0.3273,0.7793,0.8768,0.6235
28,0.224795,0.057555,0.526717,0.344941,4.825723,0.302991,0.4258,0.5797,0.272,0.7002,0.8098,0.552
29,0.212906,0.052894,0.510332,0.318175,4.825715,0.287328,0.5478,0.6533,0.4423,0.8278,0.9062,0.6703
30,0.204995,0.048174,0.491564,0.324145,4.825784,0.267477,0.691,0.853,0.529,0.9125,0.963,0.7876
31,0.193641,0.044053,0.475168,0.299605,4.825792,0.250316,0.6625,0.81,0.515,0.9252,0.9708,0.7743
32,0.190949,0.040128,0.459398,0.32636,4.825806,0.240325,0.5595,0.6773,0.4417,0.8372,0.9192,0.681
33,0.186375,0.039071,0.453551,0.313905,4.825831,0.231827,0.3945,0.449,0.34,0.6878,0.8032,0.5295
34,0.181851,0.038787,0.453779,0.285389,4.825839,0.230747,0.5408,0.7453,0.3363,0.8047,0.8908,0.6594
35,0.18043,0.038522,0.446094,0.289537,4.82586,0.227415,0.665,0.8237,0.5063,0.9113,0.962,0.7711
36,0.177899,0.035894,0.433863,0.306933,4.825869,0.217555,0.4523,0.5633,0.3413,0.7423,0.8465,0.5825
37,0.177511,0.036244,0.433611,0.303664,4.825872,0.216798,0.4348,0.5487,0.321,0.7272,0.8363,0.5685
38,0.177574,0.034082,0.423146,0.332591,4.825866,0.209033,0.3555,0.4987,0.2123,0.608,0.725,0.4762
39,0.165529,0.03164,0.411742,0.284972,4.825882,0.198693,0.275,0.4363,0.1137,0.4838,0.5855,0.3798
40,0.158125,0.029337,0.395425,0.276374,4.825881,0.185154,0.5103,0.6843,0.3363,0.8048,0.8973,0.6416
41,0.163674,0.030926,0.403932,0.28996,4.82589,0.192915,0.7142,0.7633,0.665,0.941,0.981,0.8138
42,0.15723,0.028653,0.389848,0.28223,4.825872,0.183021,0.558,0.5793,0.5367,0.847,0.9242,0.6846
43,0.161544,0.029271,0.391664,0.305104,4.825882,0.184194,0.4925,0.634,0.351,0.7638,0.853,0.6149
44,0.152532,0.027635,0.378788,0.275283,4.825893,0.175198,0.5595,0.6897,0.4293,0.8247,0.9055,0.6783
45,0.152643,0.027854,0.380671,0.270558,4.825889,0.178205,0.3632,0.5553,0.171,0.6155,0.7193,0.4809
46,0.157429,0.029174,0.381864,0.294364,4.825906,0.179388,0.4575,0.592,0.323,0.7423,0.8448,0.5852
47,0.153009,0.02862,0.376876,0.275661,4.825916,0.176815,0.6278,0.7527,0.503,0.8818,0.9428,0.7396
48,0.150807,0.028323,0.376346,0.26209,4.825925,0.178142,0.5715,0.7397,0.4033,0.8418,0.9138,0.6911
49,0.15282,0.027785,0.369467,0.289658,4.825903,0.174175,0.6825,0.843,0.522,0.8993,0.9502,0.7779
50,0.147449,0.027084,0.366009,0.26276,4.825912,0.172288,0.5957,0.7997,0.3917,0.8203,0.8882,0.6975
51,0.145969,0.02652,0.356354,0.272196,4.825922,0.166313,0.413,0.5737,0.2523,0.6465,0.7487,0.5245
52,0.145053,0.026715,0.353569,0.269423,4.825931,0.16561,0.5055,0.695,0.316,0.76,0.8408,0.6208
53,0.145926,0.026425,0.350943,0.281267,4.825924,0.163711,0.5873,0.7493,0.4253,0.8478,0.92,0.7037
54,0.138604,0.025306,0.34085,0.253995,4.825922,0.158856,0.683,0.8097,0.5563,0.8825,0.934,0.7728
55,0.138686,0.02447,0.334521,0.27079,4.825932,0.152578,0.7717,0.8143,0.729,0.9503,0.9755,0.8505
56,0.137324,0.02428,0.333133,0.263453,4.825904,0.153971,0.6828,0.8663,0.4993,0.8847,0.9385,0.7712
57,0.132261,0.022378,0.317514,0.265856,4.825924,0.143344,0.7065,0.685,0.728,0.9247,0.9637,0.8012
58,0.130966,0.022746,0.318814,0.252952,4.825944,0.14476,0.7525,0.9137,0.5913,0.9212,0.9625,0.8256
59,0.128804,0.022156,0.312808,0.25073,4.825935,0.14231,0.8125,0.8303,0.7947,0.9595,0.9795,0.8775
60,0.121581,0.020476,0.301677,0.230976,4.825934,0.1329,0.7477,0.7157,0.7797,0.9438,0.9707,0.834
61,0.119811,0.020043,0.296808,0.228992,4.825945,0.130726,0.6098,0.6683,0.5513,0.8777,0.9378,0.7259
62,0.122464,0.020019,0.296588,0.246563,4.82593,0.131498,0.8233,0.8197,0.827,0.9685,0.9893,0.8878
63,0.119035,0.020286,0.288211,0.23511,4.825928,0.129409,0.81,0.768,0.852,0.9688,0.9862,0.8789
64,0.114667,0.018589,0.280075,0.228516,4.825913,0.122915,0.6918,0.7803,0.6033,0.91,0.9577,0.7875
65,0.116915,0.019529,0.282383,0.234105,4.825921,0.126293,0.9083,0.8667,0.95,0.9878,0.9942,0.9433
66,0.115108,0.018797,0.276752,0.235119,4.82591,0.12272,0.8135,0.827,0.8,0.9683,0.987,0.8817
67,0.115012,0.019505,0.277043,0.229768,4.825908,0.124595,0.881,0.926,0.836,0.9815,0.9923,0.9267
68,0.11552,0.019209,0.27255,0.243153,4.825886,0.120516,0.9157,0.88,0.9513,0.9877,0.9932,0.9486
69,0.110366,0.018454,0.264722,0.224187,4.825886,0.11799,0.866,0.832,0.9,0.977,0.988,0.915
70,0.111081,0.018585,0.264058,0.229926,4.825905,0.117,0.89,0.917,0.863,0.9907,0.9962,0.934
71,0.108106,0.018086,0.259559,0.218903,4.825895,0.116025,0.895,0.9147,0.8753,0.9892,0.9952,0.9365
72,0.110522,0.018891,0.261589,0.227681,4.825906,0.117734,0.8593,0.8177,0.901,0.9768,0.9898,0.9121
73,0.10768,0.018183,0.254472,0.223441,4.825901,0.114508,0.7572,0.7533,0.761,0.9518,0.978,0.8427
74,0.110969,0.018867,0.254564,0.242024,4.825889,0.11489,0.8387,0.872,0.8053,0.9705,0.9848,0.8969
75,0.107732,0.018166,0.249973,0.231512,4.825885,0.112023,0.8955,0.905,0.886,0.9898,0.9972,0.9387
76,0.104978,0.017676,0.24292,0.2264,4.825886,0.109442,0.9377,0.9327,0.9427,0.993,0.9967,0.9633
77,0.101518,0.017787,0.24333,0.202472,4.82589,0.109201,0.8742,0.892,0.8563,0.983,0.9945,0.9228
78,0.100514,0.017645,0.23678,0.207009,4.825886,0.106375,0.9588,0.9557,0.962,0.9987,0.9997,0.9771
79,0.102508,0.017643,0.236682,0.22001,4.825885,0.107015,0.9597,0.9753,0.944,0.9978,0.9985,0.9776
80,0.103218,0.018713,0.241412,0.211561,4.825878,0.110384,0.9727,0.9687,0.9767,0.9972,0.9985,0.9842
81,0.099562,0.017509,0.233157,0.206026,4.825881,0.106452,0.9383,0.9097,0.967,0.9943,0.997,0.9635
82,0.099209,0.017121,0.227318,0.215325,4.82587,0.103176,0.8928,0.8933,0.8923,0.9945,0.9985,0.9381
83,0.096204,0.017701,0.223343,0.198622,4.825874,0.102363,0.9652,0.973,0.9573,0.999,0.9997,0.981
84,0.098696,0.017954,0.226658,0.208284,4.825879,0.104517,0.9645,0.9673,0.9617,0.9982,0.9992,0.9798
85,0.096623,0.017426,0.219597,0.208374,4.825869,0.101208,0.9683,0.9653,0.9713,0.9968,0.999,0.9817
86,0.097044,0.017941,0.219894,0.207447,4.825873,0.102866,0.9128,0.9153,0.9103,0.9938,0.9983,0.9495
87,0.094133,0.01774,0.21557,0.194906,4.825889,0.102522,0.9253,0.905,0.9457,0.997,0.9988,0.9571
88,0.092497,0.016909,0.205597,0.204675,4.82589,0.096859,0.9752,0.9713,0.979,0.9992,0.9997,0.9861
