epoch,total_loss,synergy_loss,main_loss,ortho_loss,diff_loss,gran_loss,val_recall@1,val_i2t_recall@1,val_t2i_recall@1,val_recall@5,val_recall@10,val_mrr
1,6.092207,4.826113,4.826577,7.167856,4.826078,9.147402,0.0002,0.0,0.0003,0.0017,0.0033,0.0027
2,5.359664,4.824645,4.825044,2.297142,4.825791,9.140646,0.0002,0.0003,0.0,0.0015,0.0033,0.0028
3,5.248763,4.823369,4.824134,1.565625,4.825728,9.139033,0.0003,0.0003,0.0003,0.0015,0.0033,0.0029
4,5.296475,4.81994,4.821857,1.905461,4.82562,9.133238,0.0007,0.0007,0.0007,0.0035,0.0072,0.0039
5,5.036876,4.611947,4.664334,1.538323,4.825368,8.754951,0.0008,0.001,0.0007,0.0038,0.0072,0.0042
6,3.652811,3.209797,3.483245,1.679402,4.826849,6.178839,0.0038,0.0043,0.0033,0.0132,0.023,0.0118
7,3.095768,2.716389,3.035014,1.314815,4.826932,5.258905,0.0085,0.009,0.008,0.0263,0.0417,0.0212
8,2.95607,2.633522,2.973311,0.919344,4.82628,5.117171,0.0072,0.0073,0.007,0.0242,0.0412,0.0193
9,2.279399,1.938179,2.440549,0.937839,4.826681,3.907976,0.0182,0.0257,0.0107,0.0635,0.0977,0.0494
10,1.575491,1.248535,1.926563,0.692665,4.826596,2.747312,0.011,0.015,0.007,0.0312,0.0515,0.0306
11,1.184378,0.870957,1.616386,0.577345,4.82655,2.083767,0.0253,0.0307,0.02,0.0933,0.1617,0.0757
12,1.088288,0.785376,1.52875,0.536181,4.826409,1.916167,0.0118,0.0147,0.009,0.0377,0.0628,0.0338
13,0.978146,0.691876,1.438358,0.450413,4.826252,1.731933,0.0243,0.0283,0.0203,0.0875,0.1442,0.0693
14,0.73214,0.457709,1.205784,0.433502,4.82594,1.284473,0.0525,0.08,0.025,0.1378,0.2008,0.1053
15,0.604941,0.343887,1.063276,0.427367,4.825842,1.046546,0.1047,0.137,0.0723,0.2573,0.3678,0.1925
16,0.526749,0.276923,0.970368,0.425141,4.825905,0.889045,0.1172,0.1763,0.058,0.2433,0.3275,0.1904
17,0.459801,0.215216,0.881654,0.448214,4.825842,0.763471,0.2113,0.2937,0.129,0.402,0.5017,0.3087
18,0.369676,0.148218,0.766666,0.395526,4.825793,0.606719,0.4612,0.4857,0.4367,0.7597,0.861,0.5946
19,0.35554,0.138689,0.739789,0.403007,4.825823,0.569839,0.3827,0.497,0.2683,0.6525,0.7592,0.5086
20,0.332803,0.124303,0.70391,0.391204,4.825854,0.525433,0.366,0.4443,0.2877,0.6897,0.8198,0.5116
21,0.324489,0.117376,0.695741,0.388566,4.825864,0.507614,0.4368,0.5353,0.3383,0.7258,0.8243,0.5668
22,0.296577,0.10151,0.650073,0.369123,4.825883,0.452122,0.474,0.601,0.347,0.7688,0.8628,0.6059
23,0.285118,0.090889,0.625358,0.394195,4.825914,0.418398,0.5027,0.6727,0.3327,0.7688,0.8522,0.6227
24,0.264751,0.081906,0.597974,0.354909,4.825917,0.386809,0.4973,0.581,0.4137,0.7867,0.8867,0.627
25,0.251707,0.073826,0.57617,0.350962,4.825938,0.358421,0.6642,0.825,0.5033,0.8855,0.9432,0.7622
26,0.247093,0.070485,0.563451,0.35846,4.825919,0.348188,0.555,0.7137,0.3963,0.8103,0.8872,0.6707
27,0.231917,0.065143,0.548656,0.310583,4.825936,0.332549,0.6595,0.8453,0.4737,0.8825,0.9388,0.758
28,0.233388,0.064594,0.547942,0.327248,4.825946,0.327262,0.6065,0.7833,0.4297,0.852,0.91,0.7148
29,0.222643,0.055823,0.521648,0.347634,4.825947,0.29883,0.553,0.7237,0.3823,0.8052,0.883,0.6664
30,0.198649,0.047556,0.48238,0.299903,4.825937,0.262763,0.699,0.906,0.492,0.8915,0.94,0.7856
31,0.194834,0.044183,0.473201,0.30959,4.825937,0.250369,0.715,0.9163,0.5137,0.8972,0.943,0.7963
32,0.191309,0.041989,0.464696,0.310887,4.825941,0.244443,0.7523,0.8807,0.624,0.9413,0.9755,0.8352
