epoch,total_loss,synergy_loss,main_loss,ortho_loss,diff_loss,gran_loss,val_recall@1,val_i2t_recall@1,val_t2i_recall@1,val_recall@5,val_recall@10,val_mrr
1,6.36291,4.824911,4.825705,8.983315,4.826053,9.140801,0.0003,0.0003,0.0003,0.0018,0.004,0.003
2,5.236389,4.81811,4.820815,1.51659,4.825616,9.129662,0.0007,0.0007,0.0007,0.0032,0.0068,0.0041
3,4.842405,4.390209,4.485023,1.71354,4.825573,8.347336,0.0037,0.0047,0.0027,0.019,0.0328,0.0147
4,3.709413,3.183219,3.456817,2.246008,4.827869,6.120563,0.0048,0.005,0.0047,0.0187,0.0308,0.0144
5,3.105315,2.749866,3.05998,1.16827,4.827288,5.306659,0.008,0.0097,0.0063,0.03,0.0475,0.0235
6,2.700351,2.345709,2.772848,1.049176,4.827398,4.63694,0.0207,0.0187,0.0227,0.0618,0.0948,0.049
7,1.981894,1.639812,2.222996,0.871226,4.827545,3.407327,0.0262,0.035,0.0173,0.071,0.1045,0.0596
8,1.810188,1.487495,2.089578,0.75562,4.827215,3.120574,0.0265,0.0383,0.0147,0.0763,0.1162,0.0631
9,1.734097,1.413997,2.030514,0.72373,4.826898,3.003367,0.0285,0.038,0.019,0.0808,0.1212,0.0653
10,1.393638,1.076818,1.777639,0.634162,4.826712,2.430545,0.03,0.041,0.019,0.0938,0.1422,0.0729
11,1.128807,0.815504,1.551389,0.620861,4.826608,1.953228,0.0235,0.0213,0.0257,0.0748,0.118,0.0604
12,0.904755,0.589885,1.35079,0.635867,4.826462,1.557925,0.0547,0.0783,0.031,0.1432,0.2085,0.1105
13,0.730033,0.436351,1.183293,0.568075,4.82642,1.245348,0.112,0.1567,0.0673,0.2592,0.3463,0.1917
14,0.535391,0.269607,0.970577,0.509908,4.826406,0.895443,0.2433,0.3257,0.161,0.4838,0.6107,0.3616
15,0.433179,0.182439,0.83969,0.503722,4.826386,0.710972,0.2417,0.262,0.2213,0.5488,0.6893,0.3851
16,0.402453,0.161699,0.806928,0.474814,4.826308,0.647404,0.463,0.461,0.465,0.7735,0.877,0.6012
17,0.336157,0.118069,0.714469,0.431495,4.826295,0.517943,0.4202,0.4997,0.3407,0.6833,0.7877,0.5431
18,0.321595,0.108648,0.688315,0.432536,4.826227,0.484307,0.5852,0.684,0.4863,0.8648,0.9303,0.7063
19,0.291687,0.095217,0.660983,0.354792,4.82618,0.443809,0.4725,0.5957,0.3493,0.7392,0.8378,0.5953
20,0.279825,0.08585,0.635398,0.368396,4.826133,0.416841,0.6497,0.746,0.5533,0.8777,0.9392,0.7498
21,0.261174,0.077117,0.608259,0.340204,4.826114,0.383659,0.6873,0.817,0.5577,0.9077,0.9572,0.7838
22,0.250587,0.068716,0.583458,0.358446,4.826096,0.354632,0.5835,0.6513,0.5157,0.85,0.9242,0.7005
23,0.237173,0.06328,0.559541,0.340126,4.82609,0.331132,0.6677,0.7427,0.5927,0.9123,0.9625,0.7729
24,0.227211,0.056167,0.533401,0.357085,4.826099,0.3046,0.8215,0.8857,0.7573,0.979,0.993,0.8907
25,0.222887,0.054205,0.52545,0.352868,4.826133,0.296334,0.6023,0.688,0.5167,0.8475,0.9228,0.712
26,0.213973,0.049819,0.508143,0.346531,4.826118,0.279823,0.5125,0.586,0.439,0.7968,0.885,0.6379
27,0.217157,0.050028,0.510492,0.362902,4.826117,0.281047,0.6142,0.688,0.5403,0.8862,0.9448,0.7325
28,0.205244,0.047867,0.496304,0.31949,4.826097,0.269459,0.5622,0.722,0.4023,0.844,0.9223,0.6861
29,0.204657,0.044694,0.486584,0.34972,4.826124,0.258309,0.5745,0.5993,0.5497,0.8953,0.9577,0.7126
30,0.197164,0.042071,0.472129,0.337834,4.826139,0.247175,0.6088,0.6683,0.5493,0.891,0.9512,0.7299
31,0.187831,0.04055,0.463593,0.297456,4.826144,0.241364,0.7078,0.7327,0.683,0.9448,0.9832,0.81
32,0.187487,0.04032,0.456625,0.30907,4.82617,0.235937,0.5458,0.6513,0.4403,0.8498,0.9297,0.6792
33,0.179308,0.037147,0.441919,0.295139,4.826216,0.225075,0.651,0.7627,0.5393,0.916,0.9657,0.7648
34,0.183149,0.037264,0.44245,0.321765,4.826235,0.221731,0.683,0.684,0.682,0.935,0.9787,0.7921
35,0.18477,0.037886,0.445147,0.323833,4.826247,0.225398,0.6897,0.693,0.6863,0.9487,0.9843,0.7999
36,0.178079,0.034321,0.428395,0.327831,4.826225,0.209172,0.6472,0.7893,0.505,0.9035,0.9582,0.7576
37,0.168511,0.033646,0.417796,0.284214,4.826265,0.204499,0.7362,0.7977,0.6747,0.9515,0.9812,0.8294
38,0.169255,0.033369,0.41456,0.296958,4.826232,0.201094,0.7413,0.7867,0.696,0.956,0.9845,0.834
39,0.174336,0.031241,0.408564,0.352382,4.82622,0.194598,0.724,0.7273,0.7207,0.9385,0.9708,0.8164
40,0.163258,0.029369,0.397902,0.30634,4.826202,0.186366,0.5607,0.689,0.4323,0.8403,0.9137,0.6823
41,0.158317,0.02839,0.390793,0.290025,4.826205,0.182009,0.6357,0.703,0.5683,0.897,0.9468,0.7484
42,0.154808,0.027431,0.381793,0.287136,4.826205,0.175489,0.7638,0.7297,0.798,0.9522,0.9768,0.8467
43,0.151821,0.026217,0.374508,0.285209,4.826216,0.170976,0.7755,0.7883,0.7627,0.9672,0.9888,0.859
44,0.147749,0.025066,0.366194,0.278172,4.826212,0.164917,0.7063,0.618,0.7947,0.9415,0.9785,0.8076
45,0.143771,0.023958,0.356565,0.273907,4.82619,0.157993,0.7225,0.7423,0.7027,0.9442,0.9763,0.8186
46,0.141347,0.023636,0.353946,0.263138,4.826193,0.157238,0.8227,0.834,0.8113,0.9682,0.9855,0.8871
47,0.140422,0.0229,0.347084,0.272853,4.826189,0.151923,0.7473,0.7963,0.6983,0.9497,0.9793,0.8356
48,0.137568,0.022558,0.342333,0.262983,4.826198,0.149908,0.6767,0.735,0.6183,0.9267,0.9685,0.7837
49,0.135679,0.021959,0.338717,0.260351,4.826148,0.146098,0.6192,0.6607,0.5777,0.8768,0.9285,0.7322
50,0.132896,0.020929,0.329578,0.262026,4.826154,0.140735,0.7772,0.746,0.8083,0.958,0.9805,0.8562
51,0.130047,0.020021,0.323591,0.257157,4.826155,0.137419,0.9065,0.8927,0.9203,0.9763,0.9847,0.9387
52,0.130041,0.019839,0.31865,0.266648,4.826173,0.134191,0.6775,0.71,0.645,0.9168,0.9648,0.7804
53,0.12966,0.019892,0.321024,0.25856,4.826139,0.13741,0.6643,0.652,0.6767,0.9178,0.972,0.7735
54,0.124836,0.019655,0.311076,0.243904,4.826162,0.132592,0.888,0.91,0.866,0.9813,0.9912,0.9302
55,0.126978,0.019075,0.311035,0.261572,4.826157,0.131359,0.848,0.8497,0.8463,0.9772,0.9893,0.9058
56,0.12524,0.01966,0.307105,0.253401,4.826143,0.130297,0.6023,0.4147,0.79,0.833,0.9005,0.7057
57,0.121707,0.018751,0.303457,0.241028,4.826162,0.126729,0.6378,0.5377,0.738,0.8765,0.9267,0.744
58,0.121071,0.018281,0.296158,0.250513,4.826191,0.123803,0.7033,0.5507,0.856,0.9198,0.963,0.7982
59,0.120353,0.017905,0.296512,0.247262,4.82618,0.123228,0.5898,0.4937,0.686,0.8687,0.9357,0.7114
60,0.11992,0.01835,0.291991,0.249071,4.826168,0.122338,0.7632,0.647,0.8793,0.9417,0.9708,0.8416
61,0.116887,0.01748,0.28428,0.246245,4.826192,0.117317,0.5658,0.4473,0.6843,0.8442,0.9178,0.6885
62,0.11739,0.017111,0.283535,0.251236,4.82618,0.118754,0.6592,0.5923,0.726,0.8997,0.9477,0.7644
63,0.114176,0.016692,0.277332,0.242833,4.826162,0.11435,0.8152,0.7107,0.9197,0.9562,0.9757,0.8767
64,0.114913,0.016603,0.273748,0.254181,4.826141,0.112447,0.6817,0.709,0.6543,0.8898,0.939,0.7751
65,0.110115,0.016149,0.270477,0.229373,4.826118,0.111167,0.867,0.872,0.862,0.9707,0.981,0.914
66,0.109109,0.015161,0.264577,0.238007,4.826154,0.106376,0.7533,0.746,0.7607,0.9272,0.9583,0.8307
67,0.106024,0.014807,0.257555,0.23058,4.826129,0.103019,0.6968,0.6653,0.7283,0.9303,0.964,0.7977
68,0.106625,0.015033,0.257592,0.233121,4.826134,0.103676,0.7638,0.6547,0.873,0.9478,0.974,0.8442
69,0.104769,0.01411,0.251753,0.235472,4.826138,0.099262,0.637,0.6147,0.6593,0.8947,0.944,0.75
70,0.103423,0.014144,0.24773,0.232529,4.826129,0.098041,0.8203,0.7483,0.8923,0.9435,0.9603,0.8756
71,0.100756,0.013839,0.241254,0.226311,4.826115,0.095635,0.7555,0.8267,0.6843,0.945,0.972,0.8366
72,0.100776,0.0142,0.244318,0.219886,4.826104,0.096997,0.7535,0.69,0.817,0.9387,0.965,0.8358
73,0.100854,0.013572,0.236711,0.235679,4.826103,0.093383,0.7073,0.5337,0.881,0.9128,0.956,0.7973
74,0.096676,0.013005,0.233571,0.215967,4.8261,0.091135,0.7293,0.655,0.8037,0.9283,0.9583,0.817
75,0.098491,0.013107,0.231119,0.231918,4.826106,0.089603,0.7313,0.6963,0.7663,0.929,0.9628,0.8182
76,0.101258,0.013821,0.236493,0.237631,4.82608,0.093314,0.6797,0.5187,0.8407,0.8932,0.9398,0.7732
77,0.101059,0.01379,0.235586,0.238296,4.826077,0.092335,0.6552,0.7153,0.595,0.8777,0.9313,0.7529
78,0.099085,0.012959,0.227053,0.243383,4.826061,0.087438,0.8023,0.795,0.8097,0.9483,0.9705,0.8669
79,0.096278,0.012735,0.221494,0.233938,4.826056,0.086106,0.6847,0.4667,0.9027,0.875,0.9255,0.7701
80,0.093527,0.01321,0.221065,0.213791,4.826071,0.086588,0.7777,0.5963,0.959,0.9305,0.9588,0.8447
81,0.092695,0.012539,0.216759,0.218769,4.826055,0.083775,0.8812,0.831,0.9313,0.9752,0.9873,0.923
82,0.094734,0.013027,0.217356,0.228889,4.826057,0.084623,0.8807,0.78,0.9813,0.9738,0.9875,0.9219
83,0.09797,0.013278,0.220438,0.243529,4.826068,0.087219,0.8875,0.791,0.984,0.9733,0.9872,0.9254
84,0.092905,0.012584,0.213544,0.224705,4.826067,0.083109,0.8038,0.7133,0.8943,0.9563,0.98,0.8713
85,0.089902,0.012547,0.207584,0.213717,4.826069,0.081719,0.8097,0.7837,0.8357,0.9525,0.9725,0.8722
86,0.088102,0.012566,0.209145,0.199731,4.826047,0.081455,0.7863,0.7527,0.82,0.9617,0.9852,0.8639
87,0.096068,0.013066,0.210997,0.246852,4.826084,0.083477,0.707,0.7123,0.7017,0.9162,0.9545,0.799
88,0.094663,0.012795,0.209518,0.241812,4.826119,0.081711,0.8507,0.8433,0.858,0.9752,0.9873,0.9061
89,0.090097,0.01246,0.202958,0.223386,4.826095,0.078991,0.8242,0.7883,0.86,0.9715,0.9887,0.8894
90,0.086366,0.011861,0.196473,0.212002,4.826091,0.075618,0.7733,0.831,0.7157,0.9497,0.9757,0.8512
91,0.093134,0.012534,0.204217,0.241266,4.826098,0.079539,0.9083,0.9043,0.9123,0.988,0.9933,0.9439
92,0.08593,0.012221,0.194055,0.210743,4.826078,0.075639,0.903,0.868,0.938,0.9875,0.9937,0.9405
93,0.092799,0.013598,0.201105,0.237844,4.826064,0.080622,0.7733,0.5903,0.9563,0.9415,0.9713,0.8455
94,0.08915,0.012698,0.192591,0.230888,4.82607,0.077456,0.9273,0.8873,0.9673,0.9867,0.993,0.9545
95,0.088182,0.012992,0.18984,0.226619,4.826089,0.077762,0.7255,0.549,0.902,0.9212,0.9603,0.8117
96,0.083235,0.012518,0.179833,0.211162,4.826105,0.074576,0.828,0.7123,0.9437,0.9573,0.9778,0.8852
97,0.079874,0.012146,0.170048,0.205041,4.826085,0.072138,0.7783,0.5807,0.976,0.929,0.9643,0.845
98,0.078128,0.012672,0.164861,0.196596,4.8261,0.074292,0.808,0.6363,0.9797,0.953,0.9795,0.8701
99,0.076339,0.012641,0.153162,0.201248,4.826093,0.073029,0.8153,0.6473,0.9833,0.9463,0.9737,0.8725
100,0.075437,0.0129,0.143928,0.206676,4.826102,0.072648,0.913,0.8313,0.9947,0.986,0.9928,0.9452
101,0.067743,0.011922,0.127549,0.184256,4.826086,0.068456,0.8145,0.7173,0.9117,0.9692,0.9867,0.8828
102,0.068238,0.012868,0.120374,0.191502,4.826077,0.070741,0.8943,0.797,0.9917,0.9803,0.9913,0.9319
103,0.066788,0.013021,0.112904,0.191476,4.826063,0.07022,0.7788,0.8547,0.703,0.9613,0.9853,0.8576
104,0.059839,0.012011,0.099421,0.171159,4.826053,0.064734,0.854,0.7927,0.9153,0.9662,0.9827,0.9037
