epoch,total_loss,synergy_loss,main_loss,ortho_loss,diff_loss,gran_loss,val_recall@1,val_i2t_recall@1,val_t2i_recall@1,val_recall@5,val_recall@10,val_mrr
1,5.327222,4.826172,4.826464,8.166118,4.826009,,0.0003,0.0003,0.0003,0.0017,0.0033,0.0029
2,4.456862,4.824743,4.825099,2.371727,4.825441,,0.0003,0.0003,0.0003,0.0017,0.0033,0.0029
3,4.480146,4.824219,4.824693,2.529768,4.825402,,0.0003,0.0003,0.0003,0.0017,0.0035,0.0029
4,4.330088,4.823643,4.82432,1.532375,4.825389,,0.0005,0.0007,0.0003,0.0018,0.0038,0.0031
5,4.29968,4.822617,4.823711,1.334915,4.825402,,0.0005,0.0003,0.0007,0.0027,0.0053,0.0035
6,4.262733,4.817935,4.820853,1.112699,4.825279,,0.0007,0.0007,0.0007,0.0038,0.0067,0.0039
7,4.101079,4.607786,4.659796,1.16039,4.823999,,0.0008,0.0007,0.001,0.0047,0.0085,0.0046
8,3.103369,3.239596,3.504264,1.978526,4.823558,,0.005,0.005,0.005,0.0162,0.027,0.014
9,2.551009,2.729511,3.046758,1.1165,4.824767,,0.0098,0.0097,0.01,0.0335,0.0563,0.0268
10,2.479828,2.656992,2.992732,1.028247,4.824963,,0.0067,0.0073,0.006,0.028,0.0477,0.0235
11,2.350831,2.53108,2.86896,0.878915,4.825139,,0.0103,0.0127,0.008,0.0303,0.0517,0.0266
12,2.198966,2.37301,2.729828,0.73696,4.825242,,0.0137,0.0183,0.009,0.046,0.0703,0.0344
13,2.102428,2.283314,2.647374,0.591995,4.825286,,0.0143,0.0197,0.009,0.0358,0.0498,0.0276
14,1.989255,2.153514,2.532315,0.553383,4.825361,,0.0062,0.005,0.0073,0.0182,0.0303,0.0162
15,1.409874,1.399785,1.985924,0.685528,4.825351,,0.031,0.035,0.027,0.0843,0.1272,0.0655
16,1.290493,1.282681,1.898753,0.513328,4.825409,,0.0395,0.0427,0.0363,0.1495,0.2495,0.1048
17,1.249882,1.240448,1.861539,0.475221,4.825471,,0.031,0.0343,0.0277,0.0832,0.1197,0.0646
18,1.206482,1.195717,1.80835,0.450636,4.825498,,0.0347,0.0387,0.0307,0.1027,0.1567,0.079
19,1.142872,1.123267,1.747616,0.421504,4.825537,,0.0065,0.0053,0.0077,0.0252,0.0442,0.0237
20,1.068586,1.050013,1.668116,0.349694,4.825549,,0.012,0.014,0.01,0.0317,0.0482,0.0279
21,0.989821,0.945725,1.583917,0.388773,4.825573,,0.0092,0.0083,0.01,0.0247,0.0355,0.0229
22,0.669153,0.553577,1.245882,0.401007,4.825751,,0.0542,0.0783,0.03,0.1413,0.201,0.1083
23,0.490667,0.34541,1.028362,0.403188,4.825798,,0.0227,0.0317,0.0137,0.058,0.0855,0.0466
24,0.448222,0.305807,0.96557,0.375556,4.825764,,0.0185,0.0217,0.0153,0.061,0.1012,0.0516
25,0.419209,0.284746,0.930648,0.319963,4.825742,,0.0402,0.0597,0.0207,0.137,0.2223,0.1034
26,0.403714,0.265785,0.900477,0.339055,4.825742,,0.0245,0.0307,0.0183,0.0827,0.1332,0.0671
27,0.385713,0.252326,0.873109,0.313866,4.825733,,0.0283,0.031,0.0257,0.08,0.1232,0.0647
28,0.375801,0.243955,0.860881,0.30036,4.825724,,0.0232,0.019,0.0273,0.0712,0.1173,0.059
29,0.378415,0.245346,0.855248,0.319268,4.825723,,0.0222,0.024,0.0203,0.0705,0.103,0.0556
