seed,group,n,metric,paper1,mgg2l,delta
2021,agreement,2957,nDCG@10,0.3738203606137042,0.40266434887944064,0.02884398826573642
2021,agreement,2957,Precision@5,0.44971254649983095,0.4947582008792695,0.04504565437943858
2021,divergence,935,nDCG@10,0.329422213768562,0.3620246811726805,0.032602467404118485
2021,divergence,935,Precision@5,0.46695187165775404,0.5242780748663102,0.05732620320855614
