metric,direction,paper1_chexbert_mean,paper1_chexbert_std,mgg2l_chexbert_mean,mgg2l_chexbert_std,delta_chexbert,delta_chexpert,seeds_mg_gt_p1_chexbert
nDCG@5,Image->Text,0.48475,0.007877245711541565,0.49921666666666664,0.004408363263918568,0.014466666666666628,0.01409999999999989,6
nDCG@5,Text->Image,0.5034333333333333,0.0057228198177704855,0.5068666666666667,0.010274953365668691,0.0034333333333333993,0.0011666666666665937,4
nDCG@10,Image->Text,0.39061666666666667,0.009159785295882584,0.40628333333333333,0.005330071919464766,0.015666666666666662,0.01568333333333327,6
nDCG@10,Text->Image,0.41208333333333336,0.0071937241166635255,0.4146666666666666,0.012038881454132969,0.0025833333333332154,0.0002666666666666373,4
mAP@10,Image->Text,0.4675333333333333,0.017514413112253192,0.49318333333333336,0.015131082798883446,0.02565000000000006,0.02799999999999997,6
mAP@10,Text->Image,0.5121833333333333,0.018629161727427943,0.5107333333333334,0.026637617511081305,-0.0014499999999999513,-0.0031666666666665955,3
Precision@5,Image->Text,0.61695,0.015665088573002077,0.6404833333333334,0.011142246930788543,0.023533333333333406,0.025183333333333446,6
Precision@5,Text->Image,0.6532,0.013563038007762127,0.6549,0.019616115823475357,0.0017000000000000348,-0.0014499999999999513,3
